k,assignments_binInsert,comparisons_binInsert
100,2662,1452
200,9886,3472
300,24357,5696
400,39844,8130
500,63736,10666
600,91691,13172
700,120404,15912
800,160109,18652
900,202118,21452
1000,253153,24300
1100,306431,27094
1200,350437,29966
1300,424256,32970
1400,484780,35962
1500,570954,39122
1600,625099,42084
1700,708120,45259
1800,832464,48356
1900,907136,51429
2000,1001726,54583
2100,1099859,57695
2200,1228470,60864
2300,1320892,64000
2400,1445953,67175
2500,1511009,70452
2600,1688401,73747
2700,1850341,77015
2800,1974054,80331
2900,2084455,83677
3000,2195125,87137
3100,2403395,90504
3200,2582657,93838
3300,2710872,97262
3400,2888159,100725
3500,3064668,104116
3600,3204015,107570
3700,3448809,110883
3800,3605332,114214
3900,3734537,117581
4000,4008823,121056
4100,4294886,124423
4200,4426941,127817
4300,4624096,131295
4400,4872659,134815
4500,5149684,138260
4600,5282287,141738
4700,5518937,145201
4800,5791749,148775
4900,6035705,152370
5000,6375359,155872
5100,6599491,159404
5200,6794716,163098
5300,7026721,166540
5400,7354448,170195
5500,7509796,173868
5600,7846920,177541
5700,8142543,180959
5800,8414113,184863
5900,8771733,188527
6000,9083861,192164
6100,9267666,195720
6200,9735041,199468
6300,9804886,203201
6400,10198834,207063
6500,10717965,210532
6600,10947972,214295
6700,11353560,217965
6800,11574696,221746
6900,11737588,225446
7000,12275964,229161
7100,12642375,232846
7200,13156070,236525
7300,13299840,240105
7400,13565368,244057
7500,14095956,247661
7600,14372762,251406
7700,14983044,254962
7800,15325225,258743
7900,15662814,262512
8000,15758683,266200
8100,16577399,269828
8200,16756759,273561
8300,17271811,277213
8400,17614755,280913
8500,18031603,284751
8600,18520626,288337
8700,19316715,292304
8800,19462109,295968
8900,20019206,299722
9000,20107191,303503
9100,20814378,307242
9200,21367567,311044
9300,21818639,314876
9400,22241900,318678
9500,22339908,322489
9600,23270079,326153
9700,23581515,330138
9800,24211654,333796
9900,24468780,337853
100,2682,1443
200,10184,3508
300,23133,5711
400,40034,8127
500,65261,10645
600,90666,13208
700,125688,15927
800,159057,18655
900,202056,21509
1000,244528,24285
1100,298171,27142
1200,363804,30002
1300,429826,32940
1400,496804,35980
1500,564366,39023
1600,644863,42213
1700,721068,45259
1800,821604,48305
1900,894005,51447
2000,975533,54583
2100,1130239,57608
2200,1229492,60795
2300,1319872,63970
2400,1433675,67235
2500,1550370,70401
2600,1693330,73675
2700,1863667,77060
2800,1944657,80427
2900,2111922,83788
3000,2280385,87014
3100,2420004,90555
3200,2575668,93844
3300,2778734,97304
3400,2910223,100704
3500,3039952,104062
3600,3321783,107447
3700,3443267,110820
3800,3620847,114256
3900,3785250,117671
4000,4018940,121065
4100,4254588,124444
4200,4431373,127883
4300,4597141,131367
4400,4785853,134779
4500,4994946,138128
4600,5244412,141696
4700,5588658,145195
4800,5787227,148865
4900,6073313,152268
5000,6213501,155812
5100,6379290,159407
5200,6782629,162987
5300,7090965,166498
5400,7316037,170237
5500,7705369,173937
5600,7789847,177511
5700,8176020,181145
5800,8440477,184731
5900,8765526,188449
6000,9006818,192158
6100,9296430,195834
6200,9588658,199492
6300,9744569,203315
6400,10291186,206832
6500,10578141,210691
6600,10826176,214160
6700,11117778,217968
6800,11507619,221770
6900,11997301,225458
7000,12358042,229308
7100,12594528,232840
7200,13081979,236477
7300,13358605,240291
7400,13830692,243862
7500,14026376,247595
7600,14607507,251424
7700,14930897,255025
7800,15215654,258875
7900,15707039,262464
8000,16129889,266119
8100,16553357,269900
8200,16810364,273468
8300,17320802,277282
8400,17661003,281093
8500,17981389,284688
8600,18478666,288346
8700,18920070,292139
8800,19296693,295722
8900,19919962,299584
9000,20416310,303452
9100,20577795,307227
9200,21375516,310975
9300,21693419,315041
9400,22102505,318639
9500,22645954,322558
9600,23174707,326273
9700,23596799,329961
9800,23871328,333856
9900,24504087,337826
100,2235,1467
200,10367,3490
300,23491,5729
400,39978,8169
500,62961,10648
600,95863,13223
700,120832,15951
800,166072,18763
900,199899,21530
1000,252001,24300
1100,311591,27085
1200,374785,29990
1300,420044,32934
1400,496544,35992
1500,569279,39044
1600,662857,42117
1700,733822,45217
1800,805866,48311
1900,911875,51426
2000,978562,54586
2100,1113772,57647
2200,1230096,60804
2300,1319429,63937
2400,1448032,67220
2500,1565806,70482
2600,1696471,73678
2700,1833023,77099
2800,1957618,80319
2900,2083530,83764
3000,2270290,87107
3100,2398118,90378
3200,2619476,93862
3300,2726122,97253
3400,2926612,100656
3500,3064915,104080
3600,3280288,107426
3700,3399822,110841
3800,3626219,114217
3900,3860576,117731
4000,4058580,121050
4100,4271182,124543
4200,4469771,127811
4300,4710349,131235
4400,4799729,134707
4500,5084899,138224
4600,5218187,141858
4700,5527915,145276
4800,5706621,148730
4900,6078058,152283
5000,6288653,155935
5100,6358474,159614
5200,6823404,163053
5300,7151560,166534
5400,7363869,170303
5500,7543850,173901
5600,7926929,177469
5700,7958252,181118
5800,8308314,184875
5900,8835231,188518
6000,8988131,192113
6100,9459937,195759
6200,9715447,199621
6300,10029638,203195
6400,10269348,206994
6500,10640115,210601
6600,10972314,214238
6700,11191350,218052
6800,11611234,221698
6900,11893532,225533
7000,12207060,229164
7100,12768055,232897
7200,13004782,236543
7300,13505981,240264
7400,13705040,244084
7500,14182939,247490
7600,14569692,251244
7700,14851019,255064
7800,15309543,258770
7900,15626696,262497
8000,15761492,266299
8100,16306601,269768
8200,16678211,273570
8300,17294835,277204
8400,17674093,280799
8500,18101982,284715
8600,18512696,288484
8700,19087255,292304
8800,19465186,295971
8900,19932486,299542
9000,20034255,303593
9100,20801974,307251
9200,21419900,310948
9300,21720946,314939
9400,21930361,318828
9500,22433936,322570
9600,23328135,326240
9700,23441080,330279
9800,23995779,334030
9900,24727979,337904
100,2978,1449
200,10368,3493
300,23015,5732
400,41985,8160
500,64617,10654
600,91625,13211
700,119397,15939
800,163160,18724
900,211634,21527
1000,250711,24249
1100,305601,27157
1200,362182,29975
1300,422469,32970
1400,494345,36010
1500,563234,39065
1600,633084,42099
1700,721734,45274
1800,808590,48383
1900,893821,51441
2000,982449,54499
2100,1122861,57599
2200,1212491,60711
2300,1350743,63997
2400,1414709,67235
2500,1588685,70473
2600,1657611,73732
2700,1845215,77066
2800,1937346,80331
2900,2149769,83800
3000,2231699,86978
3100,2437828,90498
3200,2557048,93952
3300,2668099,97238
3400,2911228,100689
3500,3076359,103999
3600,3195759,107480
3700,3389361,110730
3800,3613782,114262
3900,3781455,117653
4000,4082035,121047
4100,4184901,124561
4200,4383111,127847
4300,4652671,131391
4400,4867216,134761
4500,5058180,138329
4600,5343630,141726
4700,5539402,145258
4800,5757742,148829
4900,6009142,152229
5000,6302406,155983
5100,6564452,159437
5200,6746705,162975
5300,7059507,166606
5400,7243125,170324
5500,7583644,173700
5600,7957763,177484
5700,8052183,181010
5800,8401370,184833
5900,8667019,188215
6000,9038075,192230
6100,9055177,195810
6200,9531055,199567
6300,9880896,203306
6400,10206267,206994
6500,10675022,210619
6600,10882278,214385
6700,11301001,217974
6800,11491842,221776
6900,11960526,225455
7000,12279538,229161
7100,12597275,232909
7200,13071630,236819
7300,13330509,240240
7400,13749662,244141
7500,13801948,247550
7600,14506494,251388
7700,14925037,254977
7800,15174460,258809
7900,15549262,262410
8000,15964319,266065
8100,16372230,269843
8200,16831891,273519
8300,17152633,277366
8400,17835783,280982
8500,18134564,284835
8600,18471124,288481
8700,19003452,292151
8800,19288111,295866
8900,19879765,299785
9000,20292719,303437
9100,20748965,307278
9200,21074942,311107
9300,21493249,314810
9400,22030872,318447
9500,22275387,322555
9600,22947993,326333
9700,23223210,330126
9800,24121696,334042
9900,24647629,337871
100,3012,1443
200,10001,3502
300,23337,5696
400,41331,8130
500,62336,10675
600,96088,13184
700,122787,15912
800,156980,18679
900,203328,21482
1000,250107,24297
1100,306857,27106
1200,356184,30074
1300,418066,32949
1400,490579,35944
1500,570627,39029
1600,647642,42138
1700,716587,45217
1800,813292,48311
1900,928966,51381
2000,1001918,54511
2100,1090565,57602
2200,1198755,60804
2300,1326548,63937
2400,1450679,67184
2500,1520441,70497
2600,1665969,73735
2700,1767074,77012
2800,1926146,80343
2900,2102415,83692
3000,2224305,87050
3100,2351271,90423
3200,2557511,93889
3300,2722547,97286
3400,2917059,100707
3500,3049599,104053
3600,3252687,107480
3700,3396890,110955
3800,3609601,114280
3900,3759231,117608
4000,4017445,121047
4100,4186107,124483
4200,4439385,127922
4300,4598904,131316
4400,4715815,134815
4500,5039723,138185
4600,5277993,141702
4700,5618901,145225
4800,5810789,148640
4900,6009619,152313
5000,6320546,155881
5100,6490372,159452
5200,6751413,163056
5300,7024748,166753
5400,7272826,170198
5500,7581633,173718
5600,7758135,177460
5700,8183806,181190
5800,8357400,184848
5900,8816296,188428
6000,8879014,192188
6100,9415128,195852
6200,9572892,199459
6300,10034121,203147
6400,10260570,206904
6500,10733926,210664
6600,10983095,214415
6700,11383770,218025
6800,11665283,221815
6900,11943789,225401
7000,12411679,229176
7100,12619918,232717
7200,12976592,236480
7300,13469115,240246
7400,13536824,243943
7500,14116790,247814
7600,14524699,251397
7700,14802040,255004
7800,15293601,258818
7900,15688658,262401
8000,16169227,266200
8100,16351214,269669
8200,16922913,273651
8300,17242472,277192
8400,17744354,281036
8500,18099421,284535
8600,18596458,288373
8700,18713379,292160
8800,19403268,295794
8900,19916862,299764
9000,20446228,303530
9100,20830852,307227
9200,21453831,311122
9300,21601642,314765
9400,22154768,318726
9500,22568767,322441
9600,22971657,326303
9700,23561608,330126
9800,24103417,333925
9900,24452006,337742
